		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   34   27   18   29   39   19   23   25 17.189816 0.028192 SUCCESS   0
000000011   39   20   17   32   27   23   27   20 16.095563 0.041033 SUCCESS   1
000000101   27   37   27   18   27   27   26   26  9.826614 0.277407 SUCCESS   2
000000111   33   23   25   30   24   29   20   21  6.774887 0.561104 SUCCESS   3
000001001   20   17   27   25   30   22   27   21  5.789861 0.670757 SUCCESS   4
000001011   28   45   20   22   23   31   30   21 23.342256 0.002952 FAILURE   5
000001101   28   17   14   37   25   23   26   29 15.281328 0.053901 SUCCESS   6
000001111   37   21   16   21   21   26   21   26 11.890667 0.156149 SUCCESS   7
000010001   18   26   30   25   19   23   27   25  4.807483 0.777940 SUCCESS   8
000010011   21   19   31   19   28   23   31   29  8.180933 0.415999 SUCCESS   9
000010101   23   23   30   27   27   23   18   21  4.375211 0.821784 SUCCESS  10
000010111   22   34   24   26   21   25   23   19  6.087090 0.637477 SUCCESS  11
000011001   15   19   26   23   31   28   26   32 10.121195 0.256622 SUCCESS  12
000011011   28   14   16   26   30   20   23   32 12.907468 0.115073 SUCCESS  13
000011101   31   28   23   34   23   24   26   21  7.072116 0.528872 SUCCESS  14
000011111   30   30   23   29   22   31   31   27  7.861858 0.447079 SUCCESS  15
000100011   29   32   25   25   21   24   22   23  4.198462 0.838788 SUCCESS  16
000100101   20   16   22   21   23   20   31   27  7.576545 0.475887 SUCCESS  17
000100111   29   20   27   23   31   27   28   24  4.775708 0.781258 SUCCESS  18
000101001   31   17   26   20   22   21   32   26  8.383498 0.396933 SUCCESS  19
000101011   20   23   21   24   24   20   21   28  3.263747 0.916733 SUCCESS  20
000101101   30   22   25   17   24   27   24   27  4.494367 0.809996 SUCCESS  21
000101111   23   29   23   28   25   33   25   27  5.064332 0.750679 SUCCESS  22
000110011   22   28   19   22   34   30   32   28 10.504482 0.231386 SUCCESS  23
000110101   28   25   34   31   24   16   38   21 17.639300 0.024099 SUCCESS  24
